Site address,Owner/Developer,Tenure type,Site capacity,Site status,Year 24/25,Year 25/26,Year 26/27,Year 27/28
"Ellislea Road, 9, Garden Ground",Private,Private,1,Under Construction,0,0,0,0
"Guthrie Street, 9",Private,Private,18,Planning Consent,0,0,18,0
"Camphill Road, 65, Land To South",Private,Private,1,Planning Consent,0,0,0,0
"Lauderdale Avenue, 88, Garden Ground To South",Private,Private,1,Planning Consent,0,0,0,0
"Elliot Road, Mains Of Balgay",Private,Private,5,Planning Consent,0,0,5,0
"Hilltown, 114, Mosque",Private,Private,5,Planning Consent,0,0,5,0
"Candle Lane, 9-11",Hillcrest Ha,RSL,24,Under Construction,24,0,0,0
"Candle Lane, 3-7",Murrayfield Properties Ltd,Private,8,Planning Consent,0,0,8,0
"Lochee Road, 142A",Private,Private,1,Under Construction,0,0,0,0
"Dykes Of Gray Road, South Of Mains Of Gray Farm",Private,Private,1,Planning Consent,0,0,0,0
Central Waterfront - Site 6 *,Dundee City Council,Private,99,Under Construction,0,0,0,50
"Summerfield Avenue At Summerfield Gardens, Land To West",Invertay Homes,Private,34,Under Construction,0,15,19,0
"Summerfield Avenue At Summerfield Gardens, Land To West",Invertay Homes,Private,8,Under Construction,8,0,0,0
"Donalds Lane, Site Of Former 6",H & H Properties Ltd,Private,4,Planning Consent,0,4,0,0
"High Street, Lochee, Site Of Weavers Village",Hillcrest Ha,RSL,14,Consent Expired,0,0,0,0
"Bell Street, 86, Unit 1, India Buildings",Private,Private,1,Planning Consent,0,0,0,0
"Bell Street, 46 & 50",Private,Private,1,Planning Consent,0,0,0,0
"Bell Street, 86, Unit 2, India Buildings",Pavillion Properties Ltd,Private,1,Planning Consent,0,0,0,0
"Perth Road, 381, Garden Ground To East",Private,Private,1,Planning Consent,0,0,0,0
"Nethergate, 32",Private,Private,2,Planning Consent,0,0,0,0
"Bell Street, 86, India Buildings, 2, Upper Ground Floor",Pavillion Properties Ltd,Private,1,Planning Consent,0,0,0,0
"Bell Street, 86, India Buildings, 2, Lower Ground Floor",Pavillion Properties Ltd,Private,1,Planning Consent,0,0,0,0
"Dickson Avenue, The Rock",Rock Developments (Scotland) Ltd,Private,16,Planning Consent,0,8,8,0
"Nethergate, 172, Caird Rest",Private,Private,5,Planning Consent,0,5,0,0
"Dundee Road, 69, Woodcroft",Private,Private,1,Planning Consent,0,0,0,0
"Kinghorne Road, 119A, The High Kirk",David Gray Construction Ltd,Private,8,Planning Consent,0,8,0,0
"Bell Street, 86, Ug Floor, India Buildings",Pavillion Properties Ltd,Private,1,Planning Consent,0,0,0,0
"Cleghorn Street, 25A",Private,Private,1,Planning Consent,0,0,0,0
"Strathern Road, 32, Garden Ground",Private,Private,1,Under Construction,0,0,0,0
"Shepherds Loan, Land South Of Stephens Yard",Private,Private,2,Planning Consent,0,0,0,0
"Broughty Ferry Road, 208",Private,Private,2,Planning Consent,0,0,0,0
"Daniel Terrace, 2",Private,Private,2,Planning Consent,0,0,0,0
"Kingsway, 74, Garden Ground",Private,Private,1,Planning Consent,0,0,0,0
"Gotterstone Drive, 61",Private,Private,1,Planning Consent,0,0,0,0
"Whitfield Drive, South, Site Of Whitfield Primary School",Angus Ha,Housing Association,18,Planning Consent,0,0,18,0
"Whitfield Drive, North, Site Of Whitfield Primary School",George Martin,Private,30,Planning Consent,0,0,0,15
"Burnside Street, 6-10, Site Of",Private,Private,2,Under Construction,0,0,0,0
"Whitehall Crescent, 3",Joup Property Ltd,Private,14,Planning Consent,14,0,0,0
"Esplanade, Former Jacques Nightclub",Gl Residential,Private,11,Site Complete,0,0,0,0
"Claverhouse Old Road, Land To East Of 1",Riverview Construction Ltd,Private,4,Site Complete,0,0,0,0
"Raglan Street, 5",Jf Kegs,RSL,16,Site Complete,0,0,0,0
"Strathmartine Road, 347-349",Private,Private,1,Site Complete,0,0,0,0
