OBJECTID,TPOREFNO,ADDRESS1,ADDRESS2,ADDRESS3,GlobalID,Year_2digit,Year
131,01/12,Braeknowe,430 Blackness Road,Dundee,6082A4E8-1Ef2-4Cd7-Af7A-92F9A6097C4D,12,2012
132,03/11,73 Camphill Road,Broughty Ferry,Dundee,84A387Ca-8867-460B-A86F-D4F5A82312F2,11,2011
133,11/10,Land At 63 Reres Gardens,Broughty Ferry,Dundee,05Ce246D-8Ada-4761-Acfd-7A612Cead5D2,10,2010
135,05/12,Brackenbrae,Albert Road,Dundee,29Ed665E-057C-41Eb-Add4-A0B65E847A37,12,2012
136,06/12,Elmgrove House,315 South Road,Dundee,F17D960D-F838-47A9-B869-6Ba3A483Cbe1,12,2012
137,08/12,Dundee College,Gardyne Road,Dundee,6B2D1D1C-6719-4C4B-A610-3A8F730D830B,12,2012
138,09/12,Land To Southwest,Gemini Crescent,Dundee,9955Dffe-D174-4Ef7-B2Af-5F27Fcab5985,12,2012
140,11/12,10 Forthill Road,Broughty Ferry,Dundee,93D5Bcb1-4678-47Be-Bfdc-B136E236E35A,12,2012
142,02/13,Parkview School,309 Blackness Road,Dundee,8Dc61595-1Bf3-48A7-85Fa-769F165D3Adf,13,2013
143,03/13,N Of Scotland Water Authority,Stobsmuir Road,Dundee,C729Af95-Ae9F-4884-9D87-4Af3Ffc4398A,13,2013
144,07/12,43 Albany Road,Broughty Ferry,Dundee,Ba391062-Dc43-468D-Bb46-509D61Fbb198,12,2012
145,05/13,Windsor Court,Broughty Ferry,Dundee,2Dc4E73B-0076-43E0-Afee-Cd1Dbc0130A7,13,2013
146,03/14,1 Norrie Street,Broughty Ferry,Dundee,4Ca776B5-3136-4A1E-8139-Dc579Dfbb8E1,14,2014
147,04/14,Seymour Lodge,259 Perth Road,Dundee,0409Ad09-0226-4866-Ab4A-3D41Bc927471,14,2014
149,01/17,Invercarse Hotel,371 Perth Road,Dundee,3Dab18Ef-Cfa6-46Be-9Aca-Cee129B186D9,17,2017
150,01/16,33 Reres Road,Broughty Ferry,Dundee,D3D7E5Ba-Fac3-4Fef-99Fa-86292F41E3B4,16,2016
151,01/19,158 Nethergate,Dundee,Dundee,D52Bb616-13Eb-4D28-B31D-5725Cd35E12F,19,2019
153,01/94,Stirling House,Netherton Cottage,Craigiebarn Road,E71Ba6D5-0558-4Faa-A628-896403A4E4D9,94,1994
154,01/23,13B Richmond Terrace,Garden Ground To West,Dundee,8D95F095-0560-4Fce-84A2-Ba7471280A43,23,2023
